,Article_name,descriptions,reading_time,summary_list
0,Le guide complet pour comprendre la réactivité en Shiny,Comprendre la réactivité en Shiny est fondamental pour être capable de créer des applications complexes mais performantes et faciles à maintenir.,51 minutes de lecture,"['C’est quoi la réactivité\xa0?', 'Les fonctions de réactivité\xa0: req, isolate, etc.', 'La fonction reactive()', 'La fonction eventReactive()', 'La fonction observe()', 'La fonction observeEvent()', 'La fonction reactiveValues()', 'La fonction isolate()', 'La fonction req()', 'Mes petites astuces autour de la réactivité', 'Comment forcer la réactivité avec Sys.time()', 'Comment accélérer un calcul avec bindCache', 'Comment avoir plusieurs inputs dans un observeEvent', ""Cas d'usage: Dans un shinydashboard"", ""Cas d'usage: Les filtres interdépendants"", 'Solution 1\xa0: Supprimer l’interdépendance', 'Solution 2\xa0: Ajouter un bouton', 'Solution 3\xa0: Filtres emboîtés avec garantie de changement', 'Solution 4 : Filtres emboîtés sans garantie de changement', 'Solution 5 : Si les filtres sont rapides à calculer']"
1,Comment upgrader R 4.0.0 sur Debian,"Je suis récemment passé à R 4.0.0 sur mes serveurs Debian. Sauf que la mise à jour n’était pas facile, alors je partage dans cet article comment j’ai fait.",3 minutes de lecture,"['Le point de départ', 'La solution naïve', 'La solution qui marche']"
2,Le guide ultime pour déployer une application Shiny sur AWS,"Vous souhaitez déployer une application Shiny sur AWS ? Dans ce guide complet, je vous explique pas à pas comment faire. En bonus, le guide est téléchargeable !",63 minutes de lecture,"['Intro', 'La méthode « galère »', 'La méthode « qui marche »', ""À quoi s'attendre dans ce guide\xa0?"", '1. Créer une application Shiny', '2. Créer un serveur sur AWS', 'Créer votre compte gratuitement sur AWS', 'Créer votre premier serveur sur EC2', 'Étape 1\xa0: Choisir votre AMI', ""Étape 2\xa0: Choisir votre type d'instance"", 'Étape 3\xa0: Choisir votre taille de disque dur', 'Étape 4\xa0: Créez une clé de sécurité', '3. Installer R et R Shiny sur votre nouveau serveur', 'Comment accéder à votre nouveau serveur\xa0?', 'Comment installer Shiny Server\xa0?', '4. Déployer l’application sur le serveur', ""1. Comment accéder à l'application Shiny installée par défaut\xa0?"", ""2. Télécharger l'application sur le serveur à partir de Git"", '3. Créer un raccourci dans /srv/shiny-server/', '4. Comment débugger une appli Shiny à partir des logs', '5. Extra\xa0: Créer un nom de domaine cool', '1. Trouver un nom de domaine', '2. Paramétrer les DNS', '3. Mettre en place un reverse proxy', '6. Extra\xa0: Sécuriser votre application en HTTPS', 'Le HTTPS, c’est quoi\xa0?', ""Créer un certificat SSL/TLS avec Let's Encrypt"", 'Comment installer un certificat SSL/TLS avec nginx', 'Comment forcer l’utilisation de HTTPS', '7. Extra\xa0: Protéger votre application avec un mot de passe.', 'Les choix possibles', 'Utiliser nginx comme serveur d’authentification', 'Utiliser auth0 comme serveur d’authentification', ""Comment créer votre portail d'authentification avec Shiny"", 'Comparatif final']"
3,useR!2019: Retours sur la conférence useR de l'année,"La conférence useR!2019 est maintenant terminée. Vous l’avez manquée ? Dans cet article, je vous montre ce qui s’est passé, quels sont les temps forts et les bonnes nouvelles que vous avez manquées !",12 minutes de lecture,"['Tutoriels', 'Le Machine Learning automatique et transparent avec H20 dans R.', 'Docker pour la Data Science : R, ShinyProxy et bien plus.', 'Qui était présent ?', 'Cynkra, une société zurichoise de consulting spécialisée dans la gestion des données, avec une forte orientation sur R', 'MiraiSolutions, une autre société de consulting basée à Zurich', 'Appsilon, une solution complète de consulting en Data Science', 'Jumping Rivers, Formation et consulting en Data Science', 'ThinkR, Expertise et Formation sur l’environnement R', 'Packages à essayer', '`shinyEventLogger` : Le Logging dans les applications Shiny', '`promises` : Abstractions pour la programmation asynchrone basée sur les promesses', ""`future` : L'Unified Parallel et le Distributed Processing dans R pour tous"", ""`shinymeta` : Enregistrer et exposer la logique d'une application Shiny en utilisant la métaprogrammation"", '`polite` : Soyez sympa sur le web', '`SuperLearner` : Prédiction Super Learner', '`auth0` : Authentification sécurisée dans Shiny avec Auth0', 'Au final']"
4,user! 2019 : Qu'attendre et comment se préparer pour la conférence ?,"user!2019 commence la semaine prochaine. Comment ça va se passer ? Comment se préparer ? Dans cet article, je présente mes objectifs et attentes.",7 minutes de lecture,"['1. Tutorials : Apprendre', '2. Conférences: Découvrir', '3. Les enthousiastes de R : Rencontrer']"
5,Comment faire de beaux graphiques avec R et ggplot2,"Mes premiers graphes en R étaient horribles… Je pensais que les graphes en R n’étaient utilisables que pour des articles scientifiques. Eh bien non. Aujourd’hui, même la BBC utilise R pour créer des graphiques prêts à la publication. Découvrez comment dans cet article !",12 minutes de lecture,"['De quoi R est capable ?', 'Le package bbplot', 'Essayons le package', 'Que peut-on apprendre de leur package ?', 'Comment faire un beau graphique avec ggplot2 et bbplot ?', 'Itération 0 - Le point de départ', 'Itération 1 - Ajouter un titre', 'Itération 2 - Améliorer les libellés des axes', 'Itération 3 - Ajouter une ligne de régression', 'Itération 4 - Ajouter des couleurs pour chaque groupe', 'Iteration 5 - Améliorer la légende de couleur', 'Iteration 6 - Faire les choix difficiles', 'Iteration 7 - Ajouter des annotations']"
6,Comprendre la descente de gradient en 3 étapes et 12 dessins,"Tout le monde a déjà entendu parler de l’algorithme de descente de gradient, mais… savez-vous vraiment comment ça marche et l’avez-vous déjà implémenté par vous-même pour être sûr d’avoir bien compris comment ça marche ? Cet article explique en images pourquoi on l’utilise, comment ça marche, et vous montre même une implémentation en Python !",9 minutes de lecture,"['C’est quoi la descente de gradient ?', 'Comment ça marche ?', 'Et les maths, dans tout ça ?', 'Les pièges à éviter', 'Comment fixer le taux d’apprentissage ?', 'Comment régler le problème du *vanishing gradient* ?', 'Comment lutter contre les minima locaux ?', 'Ensuite…']"
7,Comment extraire et analyser les données de fichiers PDF en R,"R est un outil formidable pour faire du text mining. Encore faut-il pouvoir extraire le texte de vos documents PDF ! Cet article explique exactement comment faire, et aussi comment préparer vos données pour l’analyse !",10 minutes de lecture,"['Pourquoi des fichiers PDF ?', 'Deux techniques pour extraire le texte des fichiers PDF', 'Première technique : `pdftools::pdf_text`', 'Deuxième technique : Le package `tm`', 'Extraire l’information utile', '1. Nettoyer les en-têtes et pieds de page', '2. Concaténer les deux colonnes ensemble.', '3. Trouver les lignes avec les noms des orateurs']"
8,Startup SaaS : Comment prédire la LTV d'un nouvel utilisateur ?,"Si vous avez un produit SaaS, vous vous êtes forcément déjà posé la question : Comment connaître la valeur d’un nouvel utilisateur ? Comment prédire son churn rate ? Dans cet article, j’explique comment un statisticien peut répondre à ces questions pour vous.",10 minutes de lecture,"['Présentation de la start-up SaaS', 'Étude de la rétention client', ""L'approche biaisée"", ""L'approche que c'est une mauvaise idée"", 'La bonne approche avec Messieurs Kaplan et Meier', ""D'autres résultats intéressants :"", 'Suite ?']"
9,L'Algèbre Linéaire pour la Data Science : Pourquoi ?,"On me demande souvent quels sont les pré-requis mathématiques à connaître pour la data science. L’algèbre linéaire est une des disciplines les plus importantes à connaître ! Je commence donc cette série d’articles sur les concepts essentiels à connaître. Que vous soyez novice ou ayez simplement besoin d’une petite révision, c’est pour vous !",8 minutes de lecture,"[""À quoi ça sert l'Algèbre Linéaire ?"", ""Pourquoi s'y intéresser ?"", ""C'est quoi l'algèbre linéaire en fait ?""]"
